Name	Cluster
acev antwerp	University of Antwerp
acta antwerpen	University of Antwerp
adeb vba ulb vub	Solvay Business School
advanced management bij vlerick	Vlerick Business School
alcatel university antwerpen	University of Antwerp
antwerp management school	University of Antwerp
antwerp management school business school	University of Antwerp
antwerp university	University of Antwerp
antwerpen	University of Antwerp
antwerpen acb	University of Antwerp
ap antwerpen	University of Antwerp
arteveldehogeschool gent egon	University of Ghent
atic leuven	Catholic University of Leuven
b m e gent	University of Ghent
belgisch textiel en kunststoffen instituut gent	Catholic University of Leuven
beta vzw uia antwerpen	University of Antwerp
brussel	Free University of Brussels
brussels polytechnical school	Free University of Brussels
c t l gent	Catholic University of Leuven
c v o gent	Catholic University of Leuven
c v o leuven landen	Catholic University of Leuven
captains table gent	Catholic University of Leuven
catapult brussel	Catholic University of Leuven
catholic university leuven belgium	Catholic University of Leuven
catholic university louvain	Catholic University of Leuven
catholic university of leuven	Catholic University of Leuven
catholic university of leuven kul	Catholic University of Leuven
centrum voor avondonderwijs hasselt	Catholic University of Leuven
centrum voor levende talen clt leuven	Catholic University of Leuven
centrum voor middenstandsopleidingen cmo leuven	Catholic University of Leuven
charles buls in brussel	Catholic University of Leuven
commercial engineer at ku leuven	Catholic University of Leuven
concervatorium antwerpen	Catholic University of Leuven
cpme uclouvain	Catholic University of Leuven
de economie culture club ghent co founder clash icc gent weekly events	Catholic University of Leuven
ecam brussels	Free University of Brussels
ecam brussels engineering	Free University of Brussels
ecam brussels engineering school	Free University of Brussels
echo khleuven	Catholic University of Leuven
ecole polytechnique de louvain	Catholic University of Leuven
ecole polytechnique de louvain la neuve	Catholic University of Leuven
ecole polytechnique de louvain option aeronautique	Catholic University of Leuven
ecole polytechnique de louvain uclouvain	Catholic University of Leuven
egon gent	University of Ghent
ehb vub	Free University of Brussels
erasmushogeschool brussel	Free University of Brussels
geel ku leuven	Catholic University of Leuven
gent	University of Ghent
gent u	University of Ghent
gent unif	University of Ghent
gent universiteit	University of Ghent
gent universiteit belgie	University of Ghent
ghent univerity	University of Ghent
ghent university	University of Ghent
groep t campus vesalius leuven	Catholic University of Leuven
groep t in leuven	Catholic University of Leuven
groep t kuleuven	Catholic University of Leuven
groep t leuven	Catholic University of Leuven
groep t leuven engineering school	Catholic University of Leuven
groep t te leuven	Catholic University of Leuven
groept ku leuven	Catholic University of Leuven
groept leuven	Catholic University of Leuven
groept t leuven	Catholic University of Leuven
group t leuven	Catholic University of Leuven
groupt leuven	Catholic University of Leuven
guberna vlerick business school	Vlerick Business School
h r i t h o gent	Catholic University of Leuven
h r i t o hasselt	University of Hasselt
h t i sint lieven gent	Catholic University of Leuven
h t instituut kardinaal mercier brussel	Catholic University of Leuven
hasselt	University of Hasselt
hasselt en leuven	University of Hasselt
hasselt university	University of Hasselt
haute ecole de louvain en hainaut	Catholic University of Leuven
haute ecole louvain en hainaut	Catholic University of Leuven
haute ecole louvain en hainaut helha	University of Hasselt
he leonard de vinci ecam brussel	Catholic University of Leuven
heilig hart hasselt	University of Hasselt
helha haute école louvain en hainaut	University of Hasselt
henry vande velde instituut antwerpen	Catholic University of Leuven
hirl leuven	University of Hasselt
hl hasselt	University of Hasselt
hlto hasselt step	University of Hasselt
hogent unief gent	University of Ghent
hogeschool antwerpen dep ontwerpwetenschappen	University of Antwerp
hripb gent	Vlerick Business School
hrito hasselt	University of Hasselt
hrito te hasselt	University of Hasselt
i l t k u l leuven	Catholic University of Leuven
iag louvain la neuve	Catholic University of Leuven
